"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","BSS Id","SSID","Info"
"7","0.035561","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-43 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4065, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"8","0.039195","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-43 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3956, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"16","0.134978","IODataDevice_xx:xx:xx","Broadcast","802.11","475","0 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4066, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"17","0.138572","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-43 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3957, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"26","0.237395","IODataDevice_xx:xx:xx","Broadcast","802.11","475","0 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4067, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"27","0.240969","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","0 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3958, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"40","0.342267","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-43 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4068, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"41","0.345879","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-43 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3959, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"57","0.444591","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-43 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3960, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"75","0.544557","IODataDevice_xx:xx:xx","Broadcast","802.11","475","0 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4070, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"76","0.548160","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","0 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3961, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"96","0.646939","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-43 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4071, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"97","0.650550","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-43 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3962, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"109","0.749348","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-43 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4072, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"110","0.752939","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-43 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3963, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"130","0.851723","IODataDevice_xx:xx:xx","Broadcast","802.11","475","0 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4073, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"131","0.855348","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-41 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3964, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"147","0.954139","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-40 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4074, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"148","0.957745","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-41 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3965, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"163","1.056562","IODataDevice_xx:xx:xx","Broadcast","802.11","475","0 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4075, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"164","1.060148","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-39 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3966, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"182","1.158962","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-42 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4076, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"183","1.162576","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-41 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3967, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"203","1.261356","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-43 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4077, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"204","1.264940","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-43 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3968, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"218","1.363745","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-42 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4078, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"219","1.367354","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-43 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3969, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"232","1.466428","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-44 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4079, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"233","1.469746","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-44 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3970, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
